Tweet Scraped,Username,Description,Location,Followinf Count,Followers Count,Total Tweets,Retweet Count,Tweet Text,Hashtags Used
165,ResNaheliya,Struggle is a real weapon of success,,156,48,891,3,Don't worry guys Jay Shah has appointed him to do prachar for BJP in gujrat. #RavindraJadeja https://t.co/ZDdHjjDYjH,['RavindraJadeja']
170,shafiipour,Cryptocurrency Analyst.. Forex Trader.. Crypto/Blockchain Security Architect...(أنا أحب المملكة العربية السعودية 💕),International,338,304,141488,1,"#RavindraJadeja, #YashDayal ruled out of Bangladesh tour, #KuldeepSen-#ShahbazAhmed named replacements

https://t.co/bXnqTogPEw","['RavindraJadeja', 'YashDayal', 'KuldeepSen', 'ShahbazAhmed']"
179,city_andolan,"Latest News Today: Breaking News, Noida, Greater Noida, Ghaziabad, Delhi, Gurugram, Business, Sports, Bollywood, Education, Science , India, Current affairs","Noida, Greater Noida,Ghaziabad",476,279,7840,0,"IND vs BAN: Ravindra Jadeja and Yash Dayal out of ODI series against Bangladesh, these players got place #RavindraJadeja #INDvsBAN
https://t.co/46hqia49LC","['RavindraJadeja', 'INDvsBAN']"
182,MirrorNow,"We demand accountability | Relentlessly drive improvement | Address people's issues 📺 Tata Play 612, Airtel 394, Videocon d2h/Dish TV 899/733, Sun Direct 570",India,51,117256,214933,0,"Ravindra Jadeja, who is yet to recover from his knee injury, has been ruled out of the upcoming three-match ODI series against Bangladesh in December

#RavindraJadeja   #ShahbazAhmed  #indiavsbangladesh https://t.co/Q4iQ7fFmb9","['RavindraJadeja', 'ShahbazAhmed', 'indiavsbangladesh']"
184,aaditya_karwa,,,15,5,1120,2,"🚨 INJURY UPDATE 🚨 : All-rounder Ravindra Jadeja is set to miss the upcoming ODI series against Bangladesh

⏺️ Jadeja hasn't fully recovered from a knee surgery that he underwent in September

#Cricket #banvsind #IndianCricketTeam #ODISeries #RavindraJadeja #SportsNews https://t.co/TNwrata17D",[]
185,CRICXPERT04,"CRICKET ANALYST!
Get Live Scores, Updates and Analysis on International Cricket.
#NZvIND Ahead!","Mumbai, India",0,141,5492,0,"🚨 REPLACEMENT UPDATE 🚨
#ShahbazAhmed and #KuldeepSen replaces #RavindraJadeja and #YashDayal in #TeamIndia's squad for #Bangladesh ODIs. 
 
#BANvIND | #ODI https://t.co/NuhKW4rpcD","['ShahbazAhmed', 'KuldeepSen', 'RavindraJadeja', 'YashDayal', 'TeamIndia', 'Bangladesh', 'BANvIND', 'ODI']"
189,7ANURAGSHARMA,"Ex-CRICKETER
@Leander @msdhoni FAN https://t.co/08YmSPqj7k
BUXAR,
NEW DELHI
@rafaelnadal signed DP",Non resident Bihari in Delhi,1001,442,13504,0,"#RavindraJadeja RULED OUT from Bangladesh Test &amp; ODI series with injury, Shahbaz Ahmed, Saurabh Kumar called up as replacement. https://t.co/ijFceTp5uB",['RavindraJadeja']
194,InsideSportIND,"Official website of InsideSport - India's premier sports business news website. For news and analysis regarding sports business,visit https://t.co/eka3Zl2Ka6","New Delhi, India",832,6571,58544,0,"IT’S OFFCIAL! Ravindra Jadeja RULED OUT with injury, Shahbaz Ahmed, Saurabh Kumar called up as replacement, no Test debut for SKY 

#RavindraJadeja #INDvsBAN #TeamIndia #ShahbazAhmed 

https://t.co/XOuuGEfuxV","['RavindraJadeja', 'INDvsBAN', 'TeamIndia', 'ShahbazAhmed']"
196,Shubham94458590,"We are here to speak.What else here we for?
#crictalkswithshubh","Chandigarh, India",20,12,535,7,"T20 World Cup without Jasprit Bumrah and Ravindra Jadeja ..
Meanwhile my reaction 😥😥..
#bumrah #jadeja #T20WC
#JaspritBumrah #RavindraJadeja
#T20WorldCup2022 #T20WorldCup https://t.co/3jwNviL0L5","['bumrah', 'jadeja', 'T20WC']"
199,Vinoth_Balaram,"Proud to be a Tamilian in India 🇮🇳 and hats off to its unity in diversity 🫂

Leftist.",Canada,305,80,5972,0,"#RavindraJadeja

Take good rest man, lol i was joking, we all know why you wanted to take rest.
#CheapPerson","['RavindraJadeja', 'CheapPerson']"
200,wingcdrsharma,BJP Legal Cell .Mandal 3 of Mohali. Advocate Punjab and Haryana High Court. NIT Kurukshetra . Delhi University LL.B . IIM Lucknow. Retired Wing Commander IAF,"Mohali, India",4992,753,475454,1,"#NewsFlash | All-India Senior Selection Committee has named fast bowler Kuldeep Sen and all-rounder Shahbaz Ahmed as replacements for Yash Dayal &amp; #RavindraJadeja for the upcoming 3-match #ODISeries against Bangladesh in December

@BCCI https://t.co/lJKM0okQ8E",['NewsFlash']
201,PrAtikPoddAr86,Cricket Enthusiastic || Some grammar mistakes and bitter factual tweets regarding cricket 🏏 ||    💯% #FollowBack to Cricket Handle 👍|| Proudly 🇮🇳,"Bihar, India ",149,247,900,0,"Rabada, Archer, Curran &amp; Rashid are going to bowl 16 overs for MI 😳

What's your advise for opposition team ? 😅

#RavindraJadeja #ICCRankings 
#capetown #Archer #JofraArcher https://t.co/jUBqgRIMd5","['RavindraJadeja', 'ICCRankings', 'capetown', 'Archer', 'JofraArcher']"
202,CricInformer,Get all latest info related to #cricket and #FantasyCricket. Admin: Shwet and Siddhant Tripathi,"Varanasi, India",839,73167,28875,1,"BCCI Named Replacement Of Injured Ravindra Jadeja and Yash Dayal For 3 Match ODI Series Against Bangladesh

#BCCI #RavindraJadeja #yashDayal #INDvs
#Cricket #CricketLovers

https://t.co/oEJ0VnjOeg","['BCCI', 'RavindraJadeja', 'yashDayal', 'INDvs', 'Cricket', 'CricketLovers']"
203,RisingKashmir,"Official Twitter feed of Rising Kashmir, Kashmir's No. 1 English Daily Newspaper owned by Kashmir Media House. Submissions to editpage@risingkashmir.com",Srinagar,115,228879,160515,0,"#India all-rounder #RavindraJadeja ruled out of #Bangladesh ODIs

 https://t.co/CDiQQnD6Az https://t.co/w6Cc0Pmujt","['India', 'RavindraJadeja', 'Bangladesh']"
204,BurnwalBishal,"CRICKET ,MOTIVATION ,ENTERTAINMENT ☺️☺️","ASANSOL,West bengal",32,24,589,0,"Ravindra Jadeja has been ruled out of the ODI and Test series against Bangladesh
#RavindraJadeja #Cricket #crickettwitter https://t.co/cONf6Xs9Ul","['RavindraJadeja', 'Cricket', 'crickettwitter']"
205,officialsky247,"Sky247 is a destination for all real-time sports content. Proud partner of @t10league, PSL, LPL, UAE Friendship Cup and Legends League Cricket.",India,297,714,10574,0,"Pacer Kuldeep Sen and all-rounder Shahbaz Ahmed have been named as replacements in the ODI squad to play Bangladesh.

#RavindraJadeja #ShahbazAhmed #KuldeepSen #India #Bangladesh #ODI #Circket #SKY247 #Socialmedia https://t.co/WeQ8ElcrO1","['RavindraJadeja', 'ShahbazAhmed', 'KuldeepSen', 'India', 'Bangladesh', 'ODI', 'Circket', 'SKY247', 'Socialmedia']"
208,realdpthakur17,"#DeepanshuSpeaks on Digital. Forever a student of life : Speaks Cricket, Write Cricket. Views/RTs personal",,616,528,6660,0,"The All-India Senior Selection Committee has named fast bowler #KuldeepSen and all-rounder #ShahbazAhmed as replacements for #YashDayal &amp; #RavindraJadeja for the upcoming 3-match ODI series against Bangladesh in December.

#BANvIND","['KuldeepSen', 'ShahbazAhmed', 'YashDayal', 'RavindraJadeja', 'BANvIND']"
213,cricexpo_india,"Love for cricket🏏
Follow cricket with @cricexpo_india
Follow us for cricket updates",,260,8,87,0,"Squad announced for Bangladesh ODI series
Shahbaz Ahmed replaced Ravindra Jadeja

Follow @cricexpo_india for more cricket updates.

#IndianCricket #BCCI #bcci #ravindrajadeja #odiseries #bangladeshcricket #odisquad #rohitsharma #cricketnews #cricketupdates #cricexpo https://t.co/Eav0mq1Bd6","['IndianCricket', 'BCCI', 'bcci', 'ravindrajadeja', 'odiseries', 'bangladeshcricket', 'odisquad', 'rohitsharma', 'cricketnews', 'cricketupdates', 'cricexpo']"
215,thefirstindia,Welcome to the Official Twitter page of First India Newspaper.,"Jaipur, India",277,8635,155607,0,"India all-rounder #RavindraJadeja ruled out of Bangladesh ODIs

READ:https://t.co/bGZxc5tgAr

#INDvBAN #BANvIND #SportsNews #SportsUpdate #Cricket https://t.co/MOhL2NTjwV","['RavindraJadeja', 'INDvBAN', 'BANvIND', 'SportsNews', 'SportsUpdate', 'Cricket']"
216,circleofcricket,"For all the latest cricket updates, follow us! For Advertisement queries - Ishan Yadav Mahal ishan@tsdcorp.co @beingishancric",,940,161631,104937,1,"BCCI announces replacements after #RavindraJadeja and #YashDayal were ruled out of the ODI series. 

#BANvIND #TeamIndia
https://t.co/PV13Wh7ejk","['RavindraJadeja', 'YashDayal', 'BANvIND', 'TeamIndia']"
217,Vera78775157,Tamilan,"Tamil Nadu, India",36,4,186,0,"Team India squad for 3-match ODI series against Bangladesh in December
#BCCI #RavindraJadeja #TeamIndia #Bangladesh #ODI #FIFAWorldCup @imjadeja @ImRo45 @imVkohli #Cricket https://t.co/sRZAfXPCdo","['BCCI', 'RavindraJadeja', 'TeamIndia', 'Bangladesh', 'ODI', 'FIFAWorldCup', 'Cricket']"
219,Niraj_Sharma1,Founder-Director and Editor-in-Chief of https://t.co/xT17F1fUCi @TheNewsDrum https://t.co/5A1K6lP0RM @BestMediaInfo and https://t.co/xfRVXNWkFl @BuzzInContent,Delhi,194,494,2308,1,"Cricket: #TeamIndia for #Bangladesh tour announced. Fast bowler #KuldeepSen and all-rounder #ShahbazAhmed to replace #YashDayal &amp; #RavindraJadeja for the upcoming 3-match ODI series against Bangladesh in December.
https://t.co/iWy49pkgR0","['TeamIndia', 'Bangladesh', 'KuldeepSen', 'ShahbazAhmed']"
220,MirrorNow,"We demand accountability | Relentlessly drive improvement | Address people's issues 📺 Tata Play 612, Airtel 394, Videocon d2h/Dish TV 899/733, Sun Direct 570",India,51,117256,214933,0,#BREAKING | India all-rounder #RavindraJadeja ruled out of Bangladesh ODIs https://t.co/lPjkeoFtuW,"['BREAKING', 'RavindraJadeja']"
221,BikramS1996,"#ଜନ୍ମରୁଓଡ଼ିଆ,#ଓଡ଼ିଆଖାଦ୍ୟ,#ଓଡ଼ିଆଭାଷା ଏବଂ ଓଡ଼ିଶାର ସଂସ୍କୃତି ମୋ ଶେଷ ନିଶ୍ୱାସ ପର୍ଯ୍ୟାନ୍ତ ‌ମୋ ଦେହରେ ଥିବ... ମୁଁ ମୋ ମାଟି ମା' ର ଋଣୀ ।
ଜୟଓଡ଼ିଶା ।#ଜୟଜଗନ୍ନାଥ 🙏🙏🙏","Bhadrak, India",458,201,132965,2,"#RavindraJadeja ruled out of #Bangladesh ODIs, #ShahbazAhmed Likely To Replace Him

#INDVSBAN

Read More: https://t.co/6atVU7z6uP","['RavindraJadeja', 'Bangladesh', 'ShahbazAhmed', 'INDVSBAN']"
222,kartike48655021,"cricket crazy, sarcastic tweets no hate just for fun , PFP changes acc to moments, Fav players- Virat Kohli and sachin tendulkar❤🧡💛 
18.6.2003 
🇮🇳🇮🇳🇮🇳","Haridwar, India",29,56,3897,0,"Shahbaz Ahmed &amp; Kuldeep Sen Replaces Ravindra Jadeja ( Knee Injury) &amp; Yash Dayal ( Back Issues) Respectively In Indian Squad For Odi Against Bangladesh.
#INDVSBAN #BANvIND #RavindraJadeja #RavindrasinhJadeja #IndianCricketTeam #IndianCricket","['INDVSBAN', 'BANvIND', 'RavindraJadeja', 'RavindrasinhJadeja', 'IndianCricketTeam', 'IndianCricket']"
236,dentist_so,"Luv to flirt,Flirt to Luv.Belong to everyone.Orthodontist.A Proud Rajput.",United States Of RAJPUTANA,434,135,20978,0,"#RavindraJadeja is one of the greatest all-rounder of all the times....truth
Don't let that sink in...",['RavindraJadeja']
245,cricketnext,"News, Live Scores, Results, Stats and everything that's cricket from all over the globe.",India,519,132123,202292,0,"Ravindra Jadeja underwent knee surgery in September
#RavindraJadeja
https://t.co/vUy8jk0vZM",['RavindraJadeja']
247,DiamondBiskit,"🇮🇳 | Cricket aficionado | Witnessed 82*(53) 🥵

https://t.co/4kSDV7MwDv",Indiranagar,507,421,3673,0,We might have lost Prime Jadeja in international cricket. He was starting to put lower order resistance with bat in Tests. That injury could have been avoided. #RavindraJadeja,['RavindraJadeja']
249,Ajay_7781_,Ajay,,5003,177,25952,0,Please #RavindraJadeja  join in Congress party,['RavindraJadeja']
250,Glenmaxi9,Public Administration student,Darkroom,120,80,2021,0,"#RavindraJadeja
Jadeja was injured and his wife's election campaign came at the same time . 
Looks like interconnected 🙂🙂",['RavindraJadeja']
251,Anantbaje1,cooperative hsg society,"Navi Mumbai, India",0,2,2006,0,Cannot win the world cup 2019 #RavindraJadeja,['RavindraJadeja']
252,Anantbaje1,cooperative hsg society,"Navi Mumbai, India",0,2,2006,0,End of the road? For #RavindraJadeja,['RavindraJadeja']
253,IndianDomestic,Get all the updates about - Indian Domestic Cricket!,,25,27,5221,6,"According To ESPNcricinfo Report: 

👉 Ravindra Jadeja will not be available for the upcoming 3-match ODI series in Bangladesh

👉 Shahbaz Ahmed is likely to be named as Jadeja's replacement for the ODI series 

📷: ANI/PTI 

#Cricket #BANvIND #RavindraJadeja #CricketTwitter https://t.co/vxS5j0kkzX",[]
257,GbbStudios,Worthy Place For Sports Lovers... Especially Cricket & Kabaddi 💪🏻✌🏻,,3,115,529,0,🙁 Bad News #ravindrajadeja #indvsban https://t.co/LKsfTzRM33,"['ravindrajadeja', 'indvsban']"
262,mid_day,"All things #MadeinMumbai 
News | Entertainment | Sports and much more
Subscribe to #MiddayDigitalTabloid

https://t.co/v6kICsjrkn","Mumbai, India",169,686009,228919,0,"#MiddaySports |

Jadeja unlikely to get fit for #Bangladesh Tests, will new committee induct Surya as extra batter?

#SuryakumarYadav #RavindraJadeja #Cricket 

https://t.co/JjL9JZRrYc","['MiddaySports', 'Bangladesh', 'SuryakumarYadav', 'RavindraJadeja', 'Cricket']"
263,imInjured_,"Injured Ones are my responsibility ✌🏻
                                ~ @imAnthoni_ 🙂",Twitter TL,191,153,492,3,"#RAVINDRAJADEJA @imjadeja @imVkohli
Live your Life and Enjoy the game...💙 https://t.co/ifPee9yi5s",['RAVINDRAJADEJA']
264,krishsheth2006,Cricketer 🏏🏏🏏🏏,"Silvassa, India",61,22,2264,0,"According to Reports : Sourabh Kumar Is Likely To Replace Ravindra Jadeja In the Test Series Against Bangladesh. 

#SourabhKumar #RavindraJadeja #indvsbang","['SourabhKumar', 'RavindraJadeja', 'indvsbang']"
265,CricTelegraph,Your one stop for Cricket News | Latest Cricket Updates | Live Scores | Official Twitter handle of CricTelegraph |,At Cricket,277,491,21320,0,"Ravindra Jadeja will not be available for the upcoming three-match ODI series in Bangladesh ❌
 
#BANvIND #TeamIndia #RavindraJadeja #IndianCricket https://t.co/XXSQMfFbDP","['BANvIND', 'TeamIndia', 'RavindraJadeja', 'IndianCricket']"
267,SportsTentaran,Official Twitter Channel Of https://t.co/vedn5KYiVL | One Stop For all Sports Enthusiast | Follow TentaranSports for the latest News | Previews | Reviews | #IPL2022,Delhi,0,13,747,1,"RCB Retained Squad
.
.
.
#ViratKohli #MSDhoni #KLRahul #cricket #cricketlovers #ipl #RohitSharma #HardikPandya #ShreyasIyer #TeamIndia #BCCI #TentaranSports #RishabhPant  #SuryaKumarYadav #RavindraJadeja #DineshKarthik #IPL2023 https://t.co/AQMa7ZnziI","['ViratKohli', 'MSDhoni', 'KLRahul', 'cricket', 'cricketlovers', 'ipl', 'RohitSharma', 'HardikPandya', 'ShreyasIyer', 'TeamIndia', 'BCCI', 'TentaranSports', 'RishabhPant', 'SuryaKumarYadav', 'RavindraJadeja', 'DineshKarthik', 'IPL2023']"
272,nerlikar_adi,"जय परशुराम  जय श्री राम जयोस्तु हिंदुराष्ट्रम् 
                                                       A+ve  रक्तदाता",,697,425,20508,1,"Public support to @imjadeja @Rivaba4BJP @BJP4Gujarat
Really it's unforgettable.
#jamnagar #GujratElection2022 #RivabaRavindrasinhJadeja #RavindraJadeja #BJP @tarunchughbjp @VUjalambkar @rohit_chahal @Tejasvi_Surya @BJYM https://t.co/BhmpA4PEiH","['jamnagar', 'GujratElection2022']"
273,im_piyushpawar,CricFreak | Team India | Movie Lover | No Hatered,Maharashtra,61,63,5548,0,"@CricCrazyJohns Gujrat elections &gt;&gt;&gt;&gt;&gt;&gt;&gt; Cricket
#RavindraJadeja #BJP #GujratElection2022","['RavindraJadeja', 'BJP', 'GujratElection2022']"
274,dna,"Follow us for news, photos, videos and the latest trends from India and around the world.",India,20,2296065,696242,0,"Huge blow to #TeamIndia as #RavindraJadeja likely to miss #Bangladesh tour

https://t.co/KvXwADyN4K","['TeamIndia', 'RavindraJadeja', 'Bangladesh']"
275,scoresnow_in,"All about live sports updates and fantasy tips . 🏏⚽🤾
Download our fantasy app @league11_in ! 
For internship of Writing for us, you may dm !",India ,162,137,3262,0,"These Two Players are likely to Replace Ravindra Jadeja in Test and ODI respectively!

#India #Bangladesh #RavindraJadeja #Cricket https://t.co/tR2gabReOY","['India', 'Bangladesh', 'RavindraJadeja', 'Cricket']"
276,TheCricketerWeb,"#TheCricketer is a Pakistani website. We share News, Views, Analysis, Information, Opinions, Video, in Match Clips and much more about the Cricket World.","Islamabad, Pakistan",65,469,3254,0,"🚨 BREAKING NEWS 🚨 :-
Ravindra Jadeja has been ruled out from the ODI series against Bangladesh.

#BANvsIND #India #Indiacricket #Ravindrajadeja #ODIcricket #cricketnews #Cricket https://t.co/SxU1LpwMPD","['BANvsIND', 'India', 'Indiacricket', 'Ravindrajadeja', 'ODIcricket', 'cricketnews', 'Cricket']"
278,mytentaran,Digital News Magazine for Byte-sized & crisp Infotainment news to keep our audience up-to-date on info and services to make their day-to-day life and work easy,,360,3015,91857,1,"CSK Retained Squad
.
.
.
#ViratKohli #MSDhoni #KLRahul #cricket #cricketlovers #ipl #RohitSharma #HardikPandya #ShreyasIyer #TeamIndia #BCCI #TentaranSports #RishabhPant  #SuryaKumarYadav #RavindraJadeja #DineshKarthik https://t.co/gA8ht0Nsse","['ViratKohli', 'MSDhoni', 'KLRahul', 'cricket', 'cricketlovers', 'ipl', 'RohitSharma', 'HardikPandya', 'ShreyasIyer', 'TeamIndia', 'BCCI', 'TentaranSports', 'RishabhPant', 'SuryaKumarYadav', 'RavindraJadeja', 'DineshKarthik']"
280,CtTelugu,"Giving Cricket fans an even closer look at the game
CricTracker ఇప్పుడు మన తెలుగులో
https://t.co/xKhPwZHnJ0…",,1,104,337,0,"Ravindra Jadeja winnow out of Bangladesh ODIs, tests kuda doubt because the knee surgery nunchi recover avvataniki time padthundhi anta..

#CricTracker #RavindraJadeja https://t.co/Ya4H96VlFs","['CricTracker', 'RavindraJadeja']"
281,rajubai93,I am circket Analyst. Circket is mind game & mathematics is full of like 🦂🦂🦂.,"காஞ்சிபுரம், தமிழ்நாடு ",57,1,36,0,"🎩🚨Ravindra Jadeja will not be available for the upcoming three-match ODI series in Bangladesh.

#TeamIndia #IndianCricketTeam #VijayHazareTrophy2022 #ravindrajadeja #IPLretention #IPLAuction #MARCRO https://t.co/FYo8OrgZBM","['TeamIndia', 'IndianCricketTeam', 'VijayHazareTrophy2022', 'ravindrajadeja', 'IPLretention', 'IPLAuction', 'MARCRO']"
282,GargNandishwar,Software Engineer | Sports Lover | Loyal Fan of Virat Kohli ❤️🇮🇳,"Agra, India",55,33,339,0,"Update - Ravindra Jadeja set to miss 3 Match ODI Series and 2 Match Test Series against Bangladesh which is scheduled to take place in Dec, 2022. 
Reason: He is not yet fully recovered from his injury. 
#RavindraJadeja #INDvsBAN #TeamIndia🇮🇳 @BCCI","['RavindraJadeja', 'INDvsBAN', 'TeamIndia']"
283,itsme_rrr9438,Cricket | Sports Enthusiast | Political Observer | இந்தியன் | தமிழன் | Movieholic,India,1326,1153,19536,0,"https://t.co/IvCkudVN6w

Injury might be 50% truth

Another 50% should be for his personal time with his beloved ones for their work 🥲

Hope he joins during #SriLanka series at least 

We can even try #WashingtonSundar along with Ash/Axar

#RavindraJadeja #IndianCricketTeam","['SriLanka', 'WashingtonSundar', 'RavindraJadeja', 'IndianCricketTeam']"
285,imRJangid,Sports Writer @OneCricketApp | Wikipedia Editor | Photographer | Ex. @Gizbot @SportzWiki & @JoshTalksLive,"Jodhpur, India",346,4394,5045,0,"According to ESPNcricinfo, Ravindra Jadeja ruled out against Bangladesh ODI series, and Shahbaz Ahmed set to replace him.

#RavindraJadeja",['RavindraJadeja']
286,Tanmoycv01,"TC 01😊

2nd year MBBS student,
Burdwan Medical college💙
To be Doctor🩺⚕️

No Matter What I'll Achieve My Target","West Bengal, India ",87,185,15079,0,"@ESPNcricinfo He stopped doing rehab in NCA to do campaigns for BJP ! 

BCCI secretary being BJP person, he's letting a centrally contacted current Intl star to campaign actively 

#RavindraJadeja",['RavindraJadeja']
287,IndianDomestic,Get all the updates about - Indian Domestic Cricket!,,25,27,5221,5,"According To PTI Report: Suryakumar Yadav likely to be included in test squad for the upcoming Test series against Bangladesh. SKY is set to replace all-rounder Ravindra Jadeja who is still nursing a knee injury.

#BANvIND #TestCricket #SuryakumarYadav #RavindraJadeja",[]
289,apnnewsindia,"With us, you're sure to get breaking news | Official page of APN News |
Follow us on Instagram : https://t.co/XnDtpGSSYj","Noida, India",26,20606,118728,0,"IND vs BAN: Ravindra Jadeja not available for Bangladesh series, Shahbaz Ahmed in top contention

#INDvsBAN #TeamIndia #INDvsNZ #SportsNews #RavindraJadeja #SanjuSamson #RishabhPant https://t.co/6ocUtxNx9Y","['INDvsBAN', 'TeamIndia', 'INDvsNZ', 'SportsNews', 'RavindraJadeja', 'SanjuSamson', 'RishabhPant']"
293,TimesNow,TIMES NOW is India’s most watched English news channel. Follow for lightning fast #BreakingNews and #Alerts.,India,380,10310925,868855,1,"3 players who can replace Ravindra Jadeja in Test squad for Bangladesh tour #RavindraJadeja #INDvsBAN #BANvsIND 

https://t.co/fls8YC7cdC https://t.co/y7SocXN6Tq","['RavindraJadeja', 'INDvsBAN', 'BANvsIND']"
296,kreedonworld,🇮🇳 India's first media dedicated to spread awareness about Indian sports & athletes. 100 million+ Monthly Reach. 5000+ sports stories. Let's KreedOn ⚽️🏀🎾,"Pune, India",889,1166,15608,0,"🏏All-rounder Ravindra Jadeja recalled Prime Minister Narendra Modi’s ‘He’s our boy’ reaction from more than a decade ago.
https://t.co/dDETak0sI3

#RavindraJadeja #NarendraModi #KreedOn","['RavindraJadeja', 'NarendraModi', 'KreedOn']"
297,DesiLuckIndia,"Hi there! DesiLuck India, it's all about sports news and having lots of fun! Create your Fantasy Team and Play all your favorite Sports at one place",India,99,227,498,0,"Happy Birthday to the talented cricketer Navdeep Saini. May you never cease to grow with each game and win matches with your amazing performance. 🥳🎉
.
.
#navdeepsaini #viratkohli #saini #cricket #teamindia #jaspritbumrah #ravindrajadeja #desiluck #desiluckindia #NZvIND","['navdeepsaini', 'viratkohli', 'saini', 'cricket', 'teamindia', 'jaspritbumrah', 'ravindrajadeja', 'desiluck', 'desiluckindia', 'NZvIND']"
298,MihirsinhRathod,"#क्षत्रिय⚔️♥️ 🇮🇳
#maharanapratap💞
#sporty.
#activist.","Gujarat, India",1181,117,1245,0,"BCCI is private body, the cricket is not played for country it is played for BCCI. ""India"" k liye khel rahe hai wale statement public support k liye hai, not reality.
#Politics #ravindrajadeja #BJPGujrat","['Politics', 'ravindrajadeja', 'BJPGujrat']"
299,CrypTechSixer,Bringing the best of two worlds under one roof. #fantasycricket and #cryptocurrency by CT coin. Trusted by the top cricketers around the world #CryptoSeCricket.,,7,111,306,0,"@surya_14kumar could get a place in the Test series against Bangladesh as a replacement of @imjadeja.
#TeamIndia #SuryakumarYadav  #RavindraJadeja #BANvsIND #Bangladesh #CricketTwitter #ctsixer #cryptechsixer https://t.co/FAiTrMB0b5","['TeamIndia', 'SuryakumarYadav', 'RavindraJadeja', 'BANvsIND', 'Bangladesh', 'CricketTwitter', 'ctsixer', 'cryptechsixer']"
300,HawksPrediction,"It's just a job. Grass grows, birds fly, waves pound the sand. I beat people up.""",,1,12,864,0,"#ravindrajadeja likely to get ruled out of #bangladeshtour

GET ACCURATE PREDICTION

Contact us
Call/Whatsapp: +91 7260013173
Telegram: stevehawksprediction

#stevehawksprediction #indvsban #banvsind #cricketnews #trendingnews #news #cricketlovers #tipsters #t20 #t20cricket https://t.co/B0HqNxY15F","['ravindrajadeja', 'bangladeshtour', 'stevehawksprediction', 'indvsban', 'banvsind', 'cricketnews', 'trendingnews', 'news', 'cricketlovers', 'tipsters', 't20', 't20cricket']"
301,arya_cbt,,"Mumbai, India",69,6,946,0,"#ravindrajadeja likely to get ruled out of #bangladeshtour

GET ACCURATE PREDICTION

Contact us
Call/Whatsapp: +91 7491928134
Telegram: CBTArya

#cbtarya #indvsban #banvsind #cricketnews #trendingnews #news #cricketlovers #tipsters #t20 #t20cricket #pakistancricketboard https://t.co/eZhvhZ8Arl","['ravindrajadeja', 'bangladeshtour', 'cbtarya', 'indvsban', 'banvsind', 'cricketnews', 'trendingnews', 'news', 'cricketlovers', 'tipsters', 't20', 't20cricket', 'pakistancricketboard']"
302,abhiudupi96,Civil Engineer. #Nationalist 🇮🇳🚩,"Udupi, India",1535,1354,53318,1,"Ravindra Jadeja set to miss Bangladesh tour. He hasn't recovered from the injury he suffered during the Asia Cup. (Reported by Cricbuzz).
#RavindraJadeja",[]
303,SportsTentaran,Official Twitter Channel Of https://t.co/vedn5KYiVL | One Stop For all Sports Enthusiast | Follow TentaranSports for the latest News | Previews | Reviews | #IPL2022,Delhi,0,13,747,1,"SRH Retained Squad
.
.
.
#ViratKohli #MSDhoni #KLRahul #cricket #cricketlovers #ipl #RohitSharma #HardikPandya #ShreyasIyer #TeamIndia #BCCI #TentaranSports #RishabhPant  #SuryaKumarYadav #RavindraJadeja #DineshKarthik #IPL2023 https://t.co/084WAW14OI","['ViratKohli', 'MSDhoni', 'KLRahul', 'cricket', 'cricketlovers', 'ipl', 'RohitSharma', 'HardikPandya', 'ShreyasIyer', 'TeamIndia', 'BCCI', 'TentaranSports', 'RishabhPant', 'SuryaKumarYadav', 'RavindraJadeja', 'DineshKarthik', 'IPL2023']"
305,sampath533,Iam king,"Hyderabad, India",658,123,140881,14,"#RavindraJadeja is set to miss the tour of #BAN next month. 

The all-rounder, laid low due to an injury since the Asia Cup, has not recovered.

@vijaymirror ✍️

#INDvBAN #BANvIND #Jadeja","['RavindraJadeja', 'BAN']"
307,DEXSportsRadio,"DEX features: Sports news, live Radio, player and team rankings; Download App: Android: https://t.co/5sCNsoNbxO IOS👉https://t.co/jy4QcO9Nv7",,30,527,12586,0,"Ravindra Jadeja unlikely to get fit for India vs Bangladesh Test series: Report

for more latest updates
👇🏻
Visit - https://t.co/RHBuCUabdQ

👉🏻Download App Now - https://t.co/65Zn8M82aO

🥳🥳Join DexSportsRadio Now on Telegram - https://t.co/RJsYbhsKbl

#RavindraJadeja #indvsbng https://t.co/W75QeWjR1c","['RavindraJadeja', 'indvsbng']"
309,rahuludhandrru,,,62,4,62,0,#RavindraJadeja is uncertain for Bangladesh tour. He's in India's squad for both ODI and Test series but hasn't fully recovered from his injury. Selectors will soon name his replacement. https://t.co/4c2WmnsEp6,['RavindraJadeja']
310,vikasch41364994,I love my mom,,62,10,1253,1,"#SanjuSamson should replace #RavindraJadeja in the ODI series against Bangladesh!

He was not picked initially was also inexplicable,but its time for correction!

@ImRo45 @BCCI @imRohit_SN @vikrantgupta73 @SushantMehraAT @IndianMourinho @cricket_broken #INDvsNZ #IndvBan","['SanjuSamson', 'RavindraJadeja']"
